Narrative,General Hassles,Inner Concerns,Financial Concerns,Time Pressures,Environmental Hassles,Family Hassles,Health Hassles,Academic Hassles
"Today was quite a challenging day at DLSU. Dealing with instructors who seemed disinterested and unresponsive made it difficult to grasp the concepts during lectures. Their lack of clarity and inability to answer questions left me feeling frustrated and lost. It's disheartening when the people responsible for guiding your education fall short. Nonetheless, I remained determined to find alternative resources and seek help from peers to overcome these obstacles.",0,0,0,0,0,0,0,1
"I woke up this morning feeling overwhelmed by the challenges in managing group projects. It's always a struggle to find a time that works for everyone's schedules, and coordinating tasks is like herding cats. Today, we had a meeting scheduled, but half the group didn't show up, leaving us frustrated and behind schedule. Despite the setbacks, we pushed through, dividing the workload and communicating online. It's exhausting, but we're learning valuable lessons in teamwork and time management. As an undergraduate student from DLSU, these group project hassles are a constant reminder of the real-world challenges we'll face in our future careers.",0,0,0,0,0,0,0,1
"Today was just another day filled with the usual academic responsibilities that left me feeling discontented. The constant barrage of assignments, readings, and exams seemed never-ending, making it difficult to find joy in my studies. The pressure to excel and meet expectations was overwhelming, leaving me longing for a moment of respite. Despite the challenges, I reminded myself to stay focused and persevere, knowing that this journey would eventually lead me to my goals.",0,0,0,0,0,0,0,1
"So, like, I wake up in the morning and realize I overslept. Panic mode activated! I scramble to get ready, skipping breakfast like a champ. Rushing through the crowded streets, I bump into people left and right. Finally, I reach my classroom, panting and disheveled. As I enter, everyone's eyes turn towards me. Great, I've become the center of attention again. Sigh. Another day, another hassle of being late to class.",0,0,0,0,0,0,0,1
"Today was just one of those days. I woke up feeling discontent with my current academic responsibilities. The never-ending pile of readings, assignments, and exams seemed overwhelming. I couldn't help but feel frustrated and exhausted. However, I pushed through the day, reminding myself that this is just a temporary phase. I managed to complete some tasks and even found time to relax and unwind. Tomorrow is a new day, and I am determined to tackle my academic responsibilities with a refreshed mindset.",0,0,0,0,0,0,0,1
"Today was quite a rollercoaster! Dealing with group projects proved to be more challenging than I anticipated. Coordinating schedules, brainstorming ideas, and dividing tasks seemed like an uphill battle. Everyone had different priorities, and it was difficult to find common ground. Despite the frustrations, we managed to find a way to work together, pushing through the hurdles. Although it tested my patience, I realized that overcoming these challenges ultimately strengthened our bond and taught us the importance of effective communication and compromise.",0,0,0,0,0,0,0,1
"Today was quite challenging as I faced some hurdles with my instructors at DLSU. One of them assigned an overwhelming amount of readings without considering our other course loads. Another instructor seemed disinterested in answering our questions, leaving us confused and frustrated. It's tough when communication and understanding become barriers to our education. However, I'm determined to overcome these challenges and make the most out of my undergraduate journey.",0,0,0,0,0,0,0,1
"Rushing through the bustling streets of Manila, I found myself caught in the daily hassle of getting late to class. As I sprinted towards the university gates, my heart pounded in my chest, fearing the consequences of tardiness. Sweat dripped down my forehead, my mind racing with thoughts of missed lectures and disappointed professors. Finally reaching the classroom, I slipped into my seat, gasping for breath, hoping to blend in unnoticed. Lesson learned: never underestimate the notorious Manila traffic when planning my daily commute.",0,0,0,0,0,0,0,1
"Today was a tough day at DLSU. I couldn't shake off the dissatisfaction I felt with my academic performance. Despite putting in hours of studying, I still struggled to grasp certain concepts. It was frustrating to see my efforts not reflecting in my grades. Doubts began to creep in, making me question my abilities. However, I reminded myself that setbacks are a part of the learning process, and I must persevere. Determined to improve, I vowed to seek help from professors and classmates to overcome this hurdle.",0,0,0,0,0,0,0,1
"Oh man, today was such a mess! I woke up late and ended up getting late to class. Rushing through the crowded streets, I sprinted towards the university, hoping to make it in time. The elevator took ages, and I finally reached my classroom, only to find the professor had already started the lecture. Sliding into my seat, I couldn't help but feel flustered and embarrassed. Lesson learned: never hit the snooze button again!",0,0,0,0,0,0,0,1
