Narrative,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",Not enough money for wants (entertainment and recreation),Concerns about owing money,Concerns about money for emergencies,Financial security
"Today was one of those days where everything seemed to go wrong. Waking up to an empty wallet, I realized I didn't have enough money to cover my basic necessities. Skipping breakfast, I rushed to catch the crowded train, praying I wouldn't get caught without a ticket. As classes went by, my growling stomach became a constant reminder of my financial struggles. With each passing hour, the weight of not being able to afford proper healthcare or even a decent meal seemed to crush me. But amidst these challenges, I remained determined to find a way to overcome these daily hassles and create a better future for myself.",1,0,0,0,0
"Today was a tough day. Waking up with an empty stomach, I realized I didn't have enough money for basic necessities like food, clothing, transportation, housing, and even healthcare. It's a constant struggle to make ends meet as an undergraduate student at DLSU. Despite working part-time, expenses seem to always outweigh my income. But I remain hopeful that things will improve. I know that with perseverance and determination, I will find a way to overcome these daily hassles and create a better future for myself.",1,0,0,0,0
"Today was just another day of juggling my responsibilities as a DLSU undergraduate student. However, the constant worry about not having enough money for basic necessities always weighs me down. From struggling to afford nutritious meals to worrying about transportation expenses, it's a never-ending cycle of stress. The reality of not having enough funds for healthcare or even basic clothing adds to the daily challenges. Despite these daily hassles, I strive to stay focused on my studies and make the most out of the opportunities that DLSU provides.",1,0,0,0,0
"So today was a typical day of being a struggling undergraduate student at DLSU. Waking up, I realized that my bank account was nearly empty, leaving me with not enough money for even the basic necessities. As I rummaged through my closet, I found myself wearing the same clothes I had worn for the past week. Skipping breakfast, I hopped on the crowded public transportation to make it to class on time. Throughout the day, thoughts of how I'll afford my next meal, pay my rent, and cover my healthcare expenses lingered in my mind. It's a constant battle, but I know that perseverance will eventually guide me through these daily financial hassles.",1,0,0,0,0
"Today was a challenging day as a student at DLSU. I woke up feeling overwhelmed with the constant worry of not having enough money for basic necessities. My stomach grumbled as I walked past the food stalls on campus, unable to afford a decent meal. I wore the same worn-out clothes as yesterday, and my worn-out shoes were struggling to keep up with my busy schedule. Public transportation fares kept increasing, making it harder to commute to school. The thought of not being able to afford proper healthcare or a stable housing situation weighed heavily on my mind. But despite these daily hassles, I remain determined to continue my education and find a way to overcome these financial struggles.",1,0,0,0,0
"Today was another challenging day as an undergraduate student at DLSU. Waking up to the reality of not having enough money for basic necessities is a constant struggle. Skipping meals and relying on the kindness of friends for sustenance has become the norm. The lack of funds for transportation makes every journey to and from campus a daunting task. The burden of not being able to afford proper clothing and housing weighs heavily on my mind. Health concerns linger, as healthcare expenses seem like a luxury. Amidst these daily hassles, I strive to stay focused on my studies, hoping that one day, these financial difficulties will be a thing of the past.",1,0,0,0,0
"So, here's the thing. Being an undergraduate student at DLSU is no walk in the park. I wake up every morning with a knot in my stomach, worrying about not having enough money to cover my basic necessities. From the moment I step out of my dorm room, I am constantly calculating every cent I spend. I have to make tough choices like whether to buy a decent meal or settle for a cheap snack, whether to take the bus or walk to save on transportation costs. It's a daily struggle to make ends meet and ensure I have the essentials to survive. It's not glamorous, but it's my reality as an undergraduate student.",1,0,0,0,0
"Today was another challenging day as an undergraduate student at DLSU. I woke up with the constant worry of not having enough money for basic necessities like food, clothing, transportation, housing, and healthcare. The struggle to make ends meet has become a daily hassle. Despite working part-time and receiving financial aid, it's still difficult to cover all expenses. However, I remain hopeful and determined, knowing that education is the key to a better future. I'll continue to persevere and seek opportunities to overcome these financial constraints.",1,0,0,0,0
"Today was a tough day at DLSU. As an undergraduate student, I faced the daily hassle of not having enough money for basic necessities. I skipped breakfast and relied on the kindness of friends for lunch. Walking to and from school became my mode of transportation due to the lack of funds for commuting. It's disheartening to see my classmates enjoying their meals and having the means to comfortably navigate through university life. However, I remain hopeful that things will improve, and I will find a way to overcome these financial challenges.",1,0,0,0,0
"Today was a challenging day as I struggled with the daily hassle of not having enough money for basic necessities. I had to carefully budget my limited funds, prioritizing which essentials to buy. I skipped breakfast and opted for a cheaper mode of transportation to save money. My worn-out clothes reminded me of my financial struggles. It's disheartening to constantly worry about housing and healthcare expenses. Despite these hardships, I remain determined to work hard and complete my education, hoping for a brighter future.",1,0,0,0,0
"So, it was just another typical day in my life as an undergraduate student at DLSU. As usual, I woke up with a knot in my stomach, worrying about not having enough money for basic necessities. The thought of not being able to afford proper food, clothing, transportation, housing, and healthcare weighed heavily on my mind. It's a constant struggle, juggling between part-time jobs and studying, just to make ends meet. But despite the daily hassle, I remain determined to persevere and work hard to overcome these financial challenges, hoping for a brighter future ahead.",1,0,0,0,0
"Today was another challenging day as an undergraduate student at DLSU. I woke up feeling anxious about not having enough money for basic necessities like food, clothing, transportation, housing, and healthcare. It's tough to focus on my studies when financial worries constantly loom over my head. I had to skip breakfast and walk to campus due to lack of transportation fare. As I sat in class, my mind wandered, contemplating how to make ends meet. Despite these daily hassles, I remained determined to persevere and find a way to overcome these financial hurdles.",1,0,0,0,0
"So, it was just another typical day as an undergraduate student at DLSU. As I woke up, the first thought that crossed my mind was the constant worry about not having enough money for basic necessities. It was a struggle to make ends meet, with limited funds for food, clothing, transportation, housing, and even healthcare. But despite these daily hassles, I pushed through, determined to pursue my dreams and achieve a better future. With unwavering resilience, I tackled the challenges of the day, hoping that someday my hard work would pay off and alleviate these financial burdens.",1,0,0,0,0
"Today was a typical day as an undergraduate student at DLSU, filled with daily hassles. Waking up, I realized I didn't have enough money for basic necessities like food, clothing, transportation, housing, and healthcare. It's a constant struggle to make ends meet, juggling part-time jobs and studies. I had to skip breakfast again and walk to campus, feeling the weight of financial stress. As the day went on, I couldn't help but worry about how I would afford my next meal or pay for textbooks. It's a tough reality, but I remain determined to overcome these obstacles and create a better future.",1,0,0,0,0
"So, today started off like any other typical day in the life of a struggling DLSU undergraduate student. As I woke up, the first thing that hit me was the realization that I had yet again run out of money for basic necessities. It's a constant struggle to juggle between affording food, clothing, transportation, housing, and healthcare. But despite the daily hassles, I push through, determined to make the most out of my education and hopeful that someday things will get better.",1,0,0,0,0
"So, today was another typical day as an undergraduate student at DLSU. Waking up early in the morning, I realized that I was running low on funds again. It's always a struggle to make ends meet, especially when it comes to basic necessities like food, clothing, transportation, housing, and healthcare. I had to carefully plan my expenses and cut down on unnecessary things. But despite these daily hassles, I try my best to stay positive and focused on my studies, hoping that one day I'll be able to overcome these financial challenges and create a better future for myself.",1,0,0,0,0
"Today was just like any other day, filled with the usual daily hassles that come with being an undergraduate student. One of the biggest challenges I faced was not having enough money for basic necessities. It was a constant struggle to afford food, clothing, transportation, housing, and healthcare. I had to carefully budget every penny to make ends meet, often sacrificing some of my needs. Despite these financial difficulties, I remained determined to pursue my education and hoped for a better future.",1,0,0,0,0
"So, today started off like any other day in my life as an undergraduate student at DLSU. I woke up early in the morning, feeling the weight of the daily hassles that come with being a student. One of the most prominent issues I face is not having enough money for basic necessities like food, clothing, transportation, housing, and healthcare. It's a constant struggle to make ends meet and ensure that I can afford these vital things. However, despite the hardships, I try to remain positive and hopeful that things will get better in the future.",1,0,0,0,0
"So, it was just another typical day for me as an undergraduate student at DLSU. As I woke up, I realized that I was running low on funds again. The constant struggle to afford basic necessities like food, clothing, and transportation was weighing heavily on my mind. I tried to stay positive, reminding myself that I was lucky to have a roof over my head and access to education. Nonetheless, the daily hassle of not having enough money for essential expenses was a constant reminder of the challenges I faced as a student.",1,0,0,0,0
"Today was just like any other day for me as an undergraduate student at DLSU. However, the constant struggle of not having enough money for basic necessities weighed heavily on my mind. I had to carefully budget my expenses, making difficult choices between buying food, clothing, or paying for transportation. Housing and healthcare seemed like distant dreams. Despite these daily hassles, I remained determined to persevere and work hard towards a brighter future.",1,0,0,0,0
"Today was another challenging day as an undergraduate student at DLSU. I woke up with the constant worry of not having enough money for basic necessities. It's tough to focus on my studies when thoughts of food, clothing, transportation, housing, and healthcare keep creeping into my mind. Despite these daily hassles, I remain determined to push through. I know that my education will eventually lead me to a better future where these worries will be a thing of the past.",1,0,0,0,0
"So, today was one of those days when everything seemed to go wrong. I woke up feeling stressed and overwhelmed, and as I got ready for the day, I realized that I barely had enough money to cover my basic necessities. It's a constant struggle to balance my limited student budget with the rising cost of living. I had to skip breakfast and walk to class because I couldn't afford transportation. Throughout the day, I couldn't stop worrying about how I would manage to pay for my next meal, let alone afford decent housing or healthcare. It's tough being an undergraduate student, constantly juggling academics and financial struggles.",1,0,0,0,0
"Today was a typical day at DLSU, packed with classes and deadlines. However, the constant worry about not having enough money for basic necessities loomed over me. I skipped breakfast to save a few pesos, and walked to school instead of taking transportation. My worn-out clothes reminded me of my limited budget, and I couldn't help but wonder how I would afford healthcare if needed. Despite these daily hassles, I remained determined to persevere and make the most out of my education.",1,0,0,0,0
