Narrative,Regrets over past decision/s,Concerned about the meaning of life,Being lonely,Inability to express oneself,Fear of rejection,Trouble making decisions,Physical appearance,Not seeing people,Troubling thoughts about ones future,Not enough personal energy,Concerns about getting ahead,Fear of confrontation,Wasting time
"So, today was one of those days where I couldn't help but dwell on some regrets from the past. As an undergraduate student from DLSU, I couldn't help but think about the missed opportunities and decisions I wish I had made differently. It's frustrating to look back and think about what could have been. But, I guess it's all a part of the learning process. I'll just have to remind myself to focus on the present and make the most out of the opportunities that come my way.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, but as I sat in my morning class, regrets over past decisions started to haunt me. I couldn't help but replay that moment when I chose the wrong major, doubting if it was the right path for me. Throughout the day, these regrets lingered, clouding my thoughts and making me question my choices. It's a constant battle, but I'm determined to find a way to overcome these regrets and make the most out of my time here at DLSU.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today has been quite a rollercoaster. As an undergraduate student at DLSU, I couldn't help but feel the weight of regrets over past decisions. It's funny how hindsight can be so painfully clear. From choosing the wrong major to missing out on opportunities, I can't help but wonder what my life would be like if I had made different choices. But I guess it's all part of growing up and learning from our mistakes. So, despite the regrets, I'll try to make the most out of every day and let go of what I can't change.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was a rollercoaster of emotions. Waking up, I couldn't shake off the regrets from last night's decision to procrastinate on my project. As I rushed to class, I found myself questioning why I hadn't listened to my instincts earlier. The regret continued to linger, distracting me throughout the day. Lesson learned, I promised myself to trust my gut and make better choices moving forward.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today was another long day at DLSU. I couldn't help but feel a pang of regret as I walked past the library. I remembered the times I neglected my studies, choosing to procrastinate instead. Now, as I struggle to catch up with my coursework, I can't help but wish I had made better decisions in the past. Lesson learned: always prioritize my responsibilities and avoid the regrets that come with poor choices.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a cloud of regrets lingering over me. I couldn't help but think about the poor decision I made last semester, choosing the wrong elective. As I walked through the halls of DLSU, I couldn't help but feel a pang of disappointment. However, I reminded myself that mistakes are part of life and learning from them is crucial. With renewed determination, I promised myself to make better choices and not let regrets overshadow my present and future endeavors.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a heavy heart as I found myself drowning in regrets over past decisions. I couldn't help but replay those moments in my mind, questioning every choice I made. The weight of those regrets consumed me, clouding my thoughts and dampening my mood. It felt like a never-ending cycle of self-doubt. Despite the chaos within, I pushed through the day, hoping to find solace and learn from those regrets.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off with a heavy weight on my chest as I woke up with regrets over past decisions. I couldn't help but replay the moments in my mind, questioning my choices and wondering what could have been. The regret lingered throughout the day, making it hard to focus on my studies. But amidst the chaos of regret, I reminded myself that the past is behind me, and I must learn from those decisions to shape a better future.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, but as I sat in my morning class, regrets over past decisions flooded my mind. I couldn't help but wonder if I had chosen the right major or if I had wasted my time on unnecessary commitments. The weight of these regrets followed me throughout the day, making it hard to focus on my tasks. It's a constant battle to remind myself that dwelling on the past won't change anything, but it's easier said than done.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Today started off like any other day, with the burden of regrets from past decisions weighing heavily on my mind. As I walked through the bustling campus of DLSU, memories of missed opportunities and wrong choices flooded my thoughts. Each step felt like a reminder of the roads not taken and the chances I let slip away. It's a constant struggle to push past these regrets and focus on the present, but I'm determined to make the most of the opportunities that lie ahead.",1,0,0,0,0,0,0,0,0,0,0,0,0
